CD_GEOCODM,LONG,LAT,ALT
1718709,-48.533047971,-9.343742238,208.16
1718758,-47.899941639,-9.3477893341,202.93
1718808,-47.875792457,-5.349295616,125.43
1718840,-49.933388154,-12.541600167,249.79
1718865,-48.693941803,-7.149936385,180.04
1718881,-47.745270419,-8.7749764492,319.29
1718899,-48.909294,-10.866455369,290.73
1718907,-48.119954221,-11.451403998,291.37
1719004,-47.806288321,-10.282361527,274.64
1720002,-47.684285363,-6.4369976184,256.86
1720101,-47.919392287,-6.0449992571,218.37
1720150,-46.654980831,-10.173285853,416.11
1720200,-47.573002339,-5.5538195287,157.65
1720259,-48.232084991,-12.747433414,272.8
1720309,-48.203834149,-5.2589614537,0
1720499,-48.232948433,-11.973067459,310.39
1720655,-48.179824135,-11.149861308,265.7
1720804,-47.63742265,-5.6047268566,192.4
1720853,-48.911126282,-11.9862215,288.52
1720903,-46.4387317,-12.396141738,618.7
1720937,-46.984571795,-12.192837209,406.57
1720978,-49.091118433,-12.787538406,0
1721000,-48.351043708,-10.163253326,234.04
1721109,-48.375879671,-9.558147734,191.67
1721208,-47.427412928,-6.325634376,171.76
1721257,-48.206684803,-8.9805695494,211.89
1721307,-48.12299574,-8.3955299969,177.47
1722081,-47.956267726,-6.850125516,266.58
1722107,-48.53160107,-6.4118850201,150.22
2100055,-47.506664593,-4.9513770001,229.04
2100105,-43.320869003,-4.1350154768,67.19
2100154,-42.115551201,-2.8402782791,10.43
2100204,-44.417012537,-2.403276525,29.71
2100303,-43.468734852,-4.6307794951,80.48
2100402,-45.464675831,-4.1622692668,55.19
2100436,-44.448247494,-4.2,56.96
2100477,-45.842079616,-3.6651703744,17.59
2100501,-45.927344013,-9.1083659321,275.6
2100550,-46.0091799,-1.6809214951,59.43
2100600,-46.750637545,-5.5576620001,250.76
2100709,-44.620670027,-3.2575548421,6.9
2100808,-43.105792509,-3.6670346623,94.5
2100832,-45.076652073,-1.5305915777,10.57
2100873,-45.668794476,-2.9491256232,19.12
2100907,-41.899139449,-2.8892558464,0.1
2100956,-46.013636277,-4.88608,128.64
2101004,-44.778834654,-3.4591709701,7.79
2101103,-44.054585809,-2.8377968371,17.67
2101202,-44.781555964,-4.2315246297,25.18
2101251,-44.315422986,-2.9858247787,37.5
2101301,-45.137348939,-1.7240463184,23.84
2101350,-44.735742006,-2.7108719765,4.95
2101400,-46.038992673,-7.5311699902,255.91
2101509,-43.026452699,-6.7589552055,110.36
2101608,-45.23901101,-5508,152.52
2101707,-42.827802513,-2.7500859487,5.03
2101731,-43.51006164,-3.1567722275,64.56
2101772,-45.248245878,-3.7377332499,37.25
2101806,-44.559856799,-7.218799795,218.99
2101905,-44.785730156,-2.462062995,3.18
2101939,-44.764323103,-4.6302874907,52.2
2101970,-46.298710052,-1.7932961357,18.4
2102002,-45.601889389,-3.5441609778,39.17
2102036,-46.853241223,-4.4899683531,207.14
2102077,-45.031107856,-4.3755096014,40.98
2102101,-42.750847826,-3.67,53.01
2102150,-45.582095271,-4.3306298974,85.28
2102200,-42.925106177,-3945,54.82
2102309,-43.835621541,-5.8352881321,219.2
2102325,-46.45149531,-4.3259477263,172.75
2102358,-47.017225093,-5.5889151417,230.46
2102374,-44.059685015,-2.931921039,8.5
2102408,-44.673377164,-2.8828822031,4.65
2102507,-45.007965334,-3.3238688309,5.47
2102556,-47.367632863,-6.1647166458,165.59
2102606,-45.737268365,-1.4538891,14.24
2102705,-44.38181613,-3.6283643118,23.07
2102754,-44.330436251,-4.721245388,127.03
2102804,-47.470091802,-7.3307830052,179.76
2102903,-46.02315083,-1.2,8.88
2103000,-43.358539428,-4.8616749901,77.46
2103109,-44.530789527,-1.9979159255,19.65
2103125,-44.831843702,-2.1913139076,34.51
2103158,-46.039960113,-2.456985081,50.32
2103174,-46.128408954,-2.1442916985,86.06
2103208,-43.36112078,-3.74,105.7
2103257,-47.784232775,-5.1774210472,177.81
2103307,-43.886080235,-4.4513375001,44.26
2103406,-43.014013615,-4.2547375001,55.57
2103505,-44.24978023,-6.0273655201,146.29
2103554,-44.903015905,-3.8411184578,8.94
2103604,-44.125599201,-4.12,36.77
2103703,-44.867761616,-1.825520781,17.38
2103752,-47.404996387,-5.5344562161,147.34
2103802,-44.44000991,-5.0384476351,137.88
2103901,-42.944180203,-4.1478190971,49.64
2104008,-44.886068699,-4.8703008974,115
2104057,-47.447882986,-6.5680849802,150.29
2104073,-46.687355215,-6.9631355406,334.71
2104081,-44.910707402,-6.15497846,236.54
2104099,-46.186357006,-6.4353041056,273.03
2104107,-46.185557541,-6.965926087,448.15
2104206,-44.160628427,-5.7362241324,217.8
2104305,-45.771754808,-1.4098001867,18.73
2104404,-44.305906535,-5.1439555694,149.13
2104503,-44.275756526,-5.0253878239,132
2104552,-47.368935839,-5.7474117385,204.16
2104602,-44.246962646,-5.3224910015,135.67
2104628,-44.070887335,-5.4728646849,121.56
2104651,-45.674501797,-3.4297047199,49.77
2104677,-45.881481132,-2.1349,41.8
2104701,-44.3357912,-5.404821213,198.05
2104800,-46.142395635,-5.8185484313,151
2104909,-44.597746456,-2.1350771583,4.78
2105005,-43.465092144,-2.5912239722,10.41
2105104,-44.0658484,-2.774827863,6.71
2105153,-45.183327702,-3.6367085218,23.01
2105203,-44.867403345,-4.6608538062,39.7
2105302,-47.479810805,-5.5265240251,130.71
2105351,-45.7926825,-5.144582261,107.17
2105401,-44.35426339,-3.3990454801,21.88
2105427,-47.527909963,-4.4550039984,166.51
2105450,-44.219914769,-5.8196669367,190.92
2105476,-45.633379107,-5.3694249264,173.36
2105500,-47.405036149,-5.4536629415,176.92
2105609,-44.699152564,-4.9726933289,127.03
2105658,-46.070726073,-1.8746095975,53.84
2105708,-45.125891355,-4.56474,75.6
2105807,-45.051344392,-4.6076432176,73.38
2105906,-44.937635231,-4.0387112952,26.6
2105922,-43.527559116,-6.0452772965,220.3
2105948,-44.976442325,-4.6123757769,61.61
2105963,-45.390614279,-4.9931237371,179.38
2105989,-47.032447517,-6.1916092266,177.33
2106003,-44.469340329,-4.5170459872,59.5
2106102,-45.139241637,-7.0944541653,211
2106201,-45.895331992,-1.3254602443,9.94
2106300,-42.201506691,-3.396667674,17.42
2106326,-45.958639037,-2.0561645495,27.36
2106359,-45.457237652,-4.6203133241,107.52
2106375,-45.855611454,-2.23561699,56.66
2106409,-43.120389423,-3.6190455098,88.34
2106508,-45.03642894,-3.0984,21.89
2106607,-43.20120828,-5.5224650194,186.94
2106631,-44.550244506,-3.6275187802,34.68
2106672,-42.610752832,-3.5822066413,26.5
2106706,-44.362609793,-6.3775656953,187.07
2106755,-44.584275691,-3.5626447744,66.6
2106805,-44.785755986,-2.0642241915,13.91
2106904,-45.24758467,-3.4939,11.09
2107001,-47.070439508,-5.8285625041,249.58
2107100,-44.044544543,-2.861478953,22.21
2107209,-43.90448476,-3.4624642894,17.36
2107258,-46.259325222,-7.1205660035,405.57
2107308,-44.048626727,-6.7332033057,201.5
2107357,-45.70453604,-2.799886544,34.67
2107407,-45.119579,-4.1372759298,42.93
2107456,-45.003235374,-2.9974776154,15.94
2107506,-44.098692354,-2.52,33.16
2107605,-44.904463892,-2.6477742782,13.84
2107704,-43.985762048,-6.4318254141,285.67
2107803,-43.090401353,-5.684467176,83.09
2107902,-43.78174522,-6.1739944255,218.68
2108009,-44.088602513,-6.604027732,308.39
2108058,-42.54542398,-2.7182059898,3.34
2108108,-45.239980004,-4.4479567659,71.07
2108207,-44.603734876,-4.569350688,32.5
2108256,-45.346453734,-2.9681146726,29.97
2108306,-45.176461688,-3.2932333177,17.9
2108405,-44.8502907,-2.5730546485,4.59
2108454,-44.325853523,-4.3702251176,57.67
2108504,-45.346867917,-3.6055005749,8.25
2108603,-45.083926601,-2522,7.78
2108702,-45.16996038,-3.8875875301,36.09
2108801,-44.228280883,-3.7253290661,36.78
2108900,-44.9515514,-4.7500252112,57.9
2109007,-47.382164901,-6.3541818639,188.02
