UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município,LONG,LAT,ALT
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,02174,2202174,Campo Largo do Piauí,-42.626041041,-3.807868939,56.08
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02208,2202208,Campo Maior,-42.1667446,-4.829113926,126.03
22,Piauí,03,Sudoeste Piauiense,009,Floriano,02251,2202251,Canavieira,-43.719428033,-7.6946215595,202.57
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,02307,2202307,Canto do Buriti,-42.944021021,-8.1082319197,262.5
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02406,2202406,Capitão de Campos,-41.943521972,-4.4585592683,140.55
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02455,2202455,Capitão Gervásio Oliveira,-41.816116312,-8.4968378683,339.31
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,02505,2202505,Caracol,-43.33420045,-9.2767652672,515.04
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02539,2202539,Caraúbas do Piauí,-41.841208125,-3.4785905375,31.6
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02554,2202554,Caridade do Piauí,-40.990334546,-7.728652387,368.46
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02604,2202604,Castelo do Piauí,-41.547316242,-5.3215438708,235.89
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02653,2202653,Caxingó,-41.882683761,-3.4269384028,18.94
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02703,2202703,Cocal,-41.556844834,-3.4704534896,131.24
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,02711,2202711,Cocal de Telha,-41.979047873,-4.5538157239,142.42
22,Piauí,01,Norte Piauiense,002,Litoral Piauiense,02729,2202729,Cocal dos Alves,-41.45541891,-3.6060725907,137.78
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,02737,2202737,Coivaras,-42.2073159,-5.0913083513,185.02
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,02752,2202752,Colônia do Gurguéia,-43.796017156,-8.1875742163,227.33
22,Piauí,04,Sudeste Piauiense,013,Picos,02778,2202778,Colônia do Piauí,-42.177118506,-7.2236575639,198.7
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,02802,2202802,Conceição do Canindé,-41.596633943,-7.8827041538,255.46
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,02851,2202851,Coronel José Dias,-42.470357101,-8.8163694114,398.83
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,02901,2202901,Corrente,-45.163312523,-10.440936038,443.62
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,03008,2203008,Cristalândia do Piauí,-45.1860307,-10.647803751,486.48
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,03107,2203107,Cristino Castro,-44.224414747,-8.8201862885,236.85
22,Piauí,03,Sudoeste Piauiense,012,Chapadas do Extremo Sul Piauiense,03206,2203206,Curimatá,-44.300722232,-10.03129243,337.47
22,Piauí,03,Sudoeste Piauiense,010,Alto Médio Gurguéia,03230,2203230,Currais,-44.403002153,-9.0124338389,349.74
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,03271,2203271,Curral Novo do Piauí,-40.90106947,-7.8307971883,402.78
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,03255,2203255,Curralinhos,-42.832210519,-5.6204532293,168.14
22,Piauí,02,Centro-Norte Piauiense,003,Teresina,03305,2203305,Demerval Lobão,-42.674228611,-5.3584654659,109.37
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,03354,2203354,Dirceu Arcoverde,-42.439569962,-9.335200044,393.54
22,Piauí,04,Sudeste Piauiense,013,Picos,03404,2203404,Dom Expedito Lopes,-41.652385211,-6.9579018426,403.82
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,03453,2203453,Dom Inocêncio,-41.976851118,-9.0080749434,351.87
22,Piauí,02,Centro-Norte Piauiense,004,Campo Maior,03420,2203420,Domingos Mourão,-41.271881448,-4.253433634,141.2
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,03503,2203503,Elesbão Veloso,-42.138144449,-6.2017194613,188.25
22,Piauí,03,Sudoeste Piauiense,008,Bertolínia,03602,2203602,Eliseu Martins,-43.664811131,-8.0964622895,260.11
22,Piauí,01,Norte Piauiense,001,Baixo Parnaíba Piauiense,03701,2203701,Esperantina,-42.235364525,-3.8956045306,67.88
22,Piauí,03,Sudoeste Piauiense,011,São Raimundo Nonato,03750,2203750,Fartura do Piauí,-42.794401403,-9.4786062862,401.14
22,Piauí,03,Sudoeste Piauiense,009,Floriano,03800,2203800,Flores do Piauí,-42.924305801,-7.7917756017,313.9
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,03859,2203859,Floresta do Piauí,-41.80031429,-7.4667953749,212.37
22,Piauí,03,Sudoeste Piauiense,009,Floriano,03909,2203909,Floriano,-43.020644738,-6.7696724337,120.01
22,Piauí,02,Centro-Norte Piauiense,006,Valença do Piauí,04006,2204006,Francinópolis,-42.263366098,-6.3952926225,246.93
22,Piauí,02,Centro-Norte Piauiense,005,Médio Parnaíba Piauiense,04105,2204105,Francisco Ayres,-42.691127844,-6.6233435319,131.98
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,04154,2204154,Francisco Macedo,-40.795567354,-7.3278710405,399.54
22,Piauí,04,Sudeste Piauiense,014,Pio IX,04204,2204204,Francisco Santos,-41.136157336,-6.9941711375,262.45
